"","District","Label","count","total","land_owner"
"1","East Garo Hills","Both",523,4617,"11.33%"
"2","East Garo Hills","Female member",238,4617,"5.15%"
"3","East Garo Hills","Male member",275,4617,"5.96%"
"4","East Garo Hills","Missing",8,4617,"0.17%"
"5","East Garo Hills","NIU (not in universe)",3573,4617,"77.39%"
"6","East Khasi Hills","Both",383,8697,"4.4%"
"7","East Khasi Hills","Female member",1130,8697,"13.0%"
"8","East Khasi Hills","Male member",188,8697,"2.2%"
"9","East Khasi Hills","Missing",4,8697,"0.0%"
"10","East Khasi Hills","NIU (not in universe)",6992,8697,"80.4%"
"11","Jaintia Hills","Both",389,5114,"7.6%"
"12","Jaintia Hills","Female member",723,5114,"14.1%"
"13","Jaintia Hills","Male member",107,5114,"2.1%"
"14","Jaintia Hills","Missing",8,5114,"0.2%"
"15","Jaintia Hills","NIU (not in universe)",3887,5114,"76.0%"
"16","Ribhoi","Both",236,4862,"4.9%"
"17","Ribhoi","Female member",1342,4862,"27.6%"
"18","Ribhoi","Male member",575,4862,"11.8%"
"19","Ribhoi","NIU (not in universe)",2709,4862,"55.7%"
"20","South Garo Hills","Both",1193,4642,"25.7%"
"21","South Garo Hills","Female member",1039,4642,"22.4%"
"22","South Garo Hills","Male member",49,4642,"1.1%"
"23","South Garo Hills","NIU (not in universe)",2361,4642,"50.9%"
"24","West Garo Hills","Both",348,4684,"7.4%"
"25","West Garo Hills","Female member",512,4684,"10.9%"
"26","West Garo Hills","Male member",736,4684,"15.7%"
"27","West Garo Hills","NIU (not in universe)",3088,4684,"65.9%"
"28","West Khasi Hills","Both",808,4854,"16.6%"
"29","West Khasi Hills","Female member",1157,4854,"23.8%"
"30","West Khasi Hills","Male member",237,4854,"4.9%"
"31","West Khasi Hills","Missing",10,4854,"0.2%"
"32","West Khasi Hills","NIU (not in universe)",2642,4854,"54.4%"
